Contrast,Estimate,SE,df,t-ratio,p-value
Conspecific - Nat Biof,29.9,6.51,15,4.593,0.0018
Conspecific - Lab Biof,58.2,6.51,15,8.945,<0.0001
Conspecific - Control,85.3,6.51,15,13.097,<0.0001
Nat Biof - Lab Biof,28.3,6.51,15,4.351,0.0029
Nat Biof - Control,55.4,6.51,15,8.504,<0.0001
Lab Biof - Control,27,6.51,15,4.152,0.0042
